index,kommune
1,Albertslund
2,Allerød
3,Ballerup
4,Bornholm
5,Brøndby
6,Dragør
7,Egedal
8,Fredensborg
9,Frederiksberg
10,Frederikssund
11,Furesø
12,Gentofte
13,Gladsaxe
14,Glostrup
15,Gribskov
16,Halsnæs
17,Helsingør
18,Herlev
19,Hillerød
20,Hvidovre
21,Høje-Taastrup
22,Hørsholm
23,Ishøj
24,København
25,Lyngby-Taarbæk
26,Rudersdal
27,Rødovre
28,Tårnby
29,Vallensbæk
30,Faxe
31,Greve
32,Guldborgsund
33,Holbæk
34,Kalundborg
35,Køge
36,Lejre
37,Lolland
38,Næstved
39,Odsherred
40,Ringsted
41,Roskilde
42,Slagelse
43,Solrød
44,Sorø
45,Stevns
46,Vordingborg
47,Assens
48,Billund
49,Esbjerg
50,Fanø
51,Fredericia
52,Faaborg-Midtfyn
53,Haderslev
54,Kerteminde
55,Kolding
56,Langeland
57,Middelfart
58,Nordfyns
59,Nyborg
60,Odense
61,Svendborg
62,Sønderborg
63,Tønder
64,Varde
65,Vejen
66,Vejle
67,Ærø
68,Aabenraa
69,Favrskov
70,Hedensted
71,Herning
72,Holstebro
73,Horsens
74,Ikast-Brande
75,Lemvig
76,Norddjurs
77,Odder
78,Randers
79,Ringkøbing-Skjern
80,Samsø
81,Silkeborg
82,Skanderborg
83,Skive
84,Struer
85,Syddjurs
86,Viborg
87,Aarhus
88,Brønderslev
89,Frederikshavn
90,Hjørring
91,Jammerbugt
92,Læsø
93,Mariagerfjord
94,Morsø
95,Rebild
96,Thisted
97,Vesthimmerland
98,Aalborg